,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12502991.0,0.9972066923851264,1.0028011320383265,496311.0586484854,1132886.3311205965,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1296834.9610865463,1452711.9768948308,1506381.3723275838,1537045.0611484651,1537045.0611484651,1537045.0611484651,1537045.0611484651,1537045.0611484651,1537045.0611484651,1537045.0611484651,1537045.0611484651
1,1,12504585.0,0.9972066923851264,1.0028011320383265,492468.412966063,1129043.6854381743,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1292992.3154041239,1441464.479365722,1490197.519656657,1520861.2084775383,1520861.2084775383,1520861.2084775383,1520861.2084775383,1520861.2084775383,1520861.2084775383,1520861.2084775383,1520861.2084775383
2,2,12505435.0,0.9972066923851264,1.0028011320383265,10557750.830295915,11171271.026447538,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,11312393.965003842,30902738.9436126,30951471.983903535,30982135.67272442,30982135.67272442,30982135.67272442,30982135.67272442,30982135.67272442,30982135.67272442,30982135.67272442,30982135.67272442
3,3,12506527.0,0.9972066923851264,1.0028011320383265,10585328.824050676,11234905.269980423,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,11376028.208536727,30983460.259666625,31029081.927409813,31059745.616230693,31059745.616230693,31059745.616230693,31059745.616230693,31059745.616230693,31059745.616230693,31059745.616230693,31059745.616230693
4,4,12507079.0,0.9972066923851264,1.0028011320383265,10184843.064026084,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,10310813.089400485,29811230.76764637,29856852.435389556,29887516.124210436,29887516.124210436,29887516.124210436,29887516.124210436,29887516.124210436,29887516.124210436,29887516.124210436,29887516.124210436
5,5,12507860.0,0.9972066923851264,1.0028011320383265,10161104.336789053,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,10256037.678121662,29741747.058241665,29756873.385549806,29757345.166993026,29757345.166993026,29757345.166993026,29757345.166993026,29757345.166993026,29757345.166993026,29757345.166993026,29757345.166993026
6,6,12510084.0,0.9972066923851264,1.0028011320383265,10161052.68997153,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,10255918.50679277,29741595.887017336,29756722.214325476,29757193.995768696,29757193.995768696,29757193.995768696,29757193.995768696,29757193.995768696,29757193.995768696,29757193.995768696,29757193.995768696
7,7,12510606.0,0.9972066923851264,1.0028011320383265,10150047.233390346,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,10230524.204708822,29709382.70476381,29710371.157630112,29710842.93907333,29710842.93907333,29710842.93907333,29710842.93907333,29710842.93907333,29710842.93907333,29710842.93907333,29710842.93907333
8,8,12511502.0,0.9972066923851264,1.0028011320383265,66732.39799017223,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,195327.00736354128,195803.5302788438,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366
9,9,12511502.0,0.9972066923851264,1.0028011320383265,66732.39799017223,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,146688.35173960472,195327.00736354128,195803.5302788438,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366,196275.31172206366
10,10,12517258.0,0.9972066923851264,1.0028011320383265,35948.2111958872,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,75656.04761881861,105221.1028592073,105697.62577450981,106169.40721772966,106169.40721772966,106169.40721772966,106169.40721772966,106169.40721772966,106169.40721772966,106169.40721772966,106169.40721772966
11,11,12523984.0,0.9972066923851264,1.0028011320383265,5577.263811583801,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,5577.263811583858,16324.758024649784,16324.758024657302,16324.758024657502,16324.758024657502,16324.758024657502,16324.758024657502,16324.758024657502,16324.758024657502,16324.758024657502,16324.758024657502
12,12,12550043.0,0.9972066923851264,1.0028011320383265,-1.72635863873e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,-1.66927270088e-09,3.8720822535e-09,1.138918588087e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08,1.158875449334e-08
