,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
0,0,15372864.0,7.303112204075888,0.1369279249799691,0.013319529844838383,0.03620043399205378,0.058853680746808634,0.08128153515946789,0.10348623972198094,0.12547001488373627,0.1472350586685747,0.16878354733797754,0.1901176357913508,0.2112394569166373,0.23215112298564386,0.404282642906039,0.5683380467051888,0.7307611515375231,0.8915682004337997,1.0507752718393641,1.208398285831795,1.3644530023258505,1.5189550259319453,1.6719198050990363,1.8233626341986957
1,1,15566860.0,5.297932422891433,0.1887528794590086,0.016959047855780764,0.04380982301514093,0.0703934415682361,0.09671256200019943,0.12276981601017434,0.14856780859501584,0.17410911977044966,0.19939630331135325,0.22443188764981992,0.24921837620572293,0.2737582472539415,0.3374671389532202,0.47726704976219003,0.6156759980178518,0.7527078220026181,0.8883762246007905,1.022694771310431,1.15567689143792,1.2873358841896327,1.4176849134293201,1.546737013106332
2,2,15574574.0,5.387146296285762,0.18562703609691517,0.02121188744115604,0.04779550599425121,0.07411462642621454,0.10017188043618945,0.12596987302103096,0.15151118419646478,0.17679836773736837,0.20183395207583502,0.22662044063173803,0.2511603116799566,0.2754560191123852,0.31699772234668694,0.4582025754459504,0.5980024862549203,0.736411434510582,0.8734432584953482,1.0091116610935207,1.1434302078031613,1.2764123279306503,1.408071320682363,1.5384203499220503
3,3,15593326.0,5.810763745653159,0.1720944171492202,0.0001718804415712897,0.02596987302641279,0.05151118420184661,0.07679836774275019,0.10183395208121686,0.12662044063711989,0.15116031168533844,0.17545601911776706,0.1995099921652861,0.2233246363271362,0.24690233245611798,0.4443485812786928,0.5898535442983441,0.733910779507721,0.8765346932744097,1.0177395463736731,1.157539457182643,1.2959484054383046,1.432980229423071,1.5686486320212434,1.702967178730884
4,4,15601402.0,5.869746873794286,0.1703650977633361,0.012969873027112428,0.03851118420254625,0.06379836774344982,0.0888339520819165,0.11362044063781951,0.1381603116860381,0.16245601911846672,0.18650999216598574,0.21032463632783582,0.2339023324568176,0.257245438216417,0.3733070152485598,0.5202742527598894,0.6657792157795407,0.8098364509889175,0.9524603647556062,1.0936652178548698,1.2334651286638396,1.3718740769195013,1.5089059009042676,1.64457430350244
5,5,15645583.0,5.9210338822993736,0.1688894236848481,0.0017271129435893094,0.02726842411902313,0.052555607659926715,0.07759119199839337,0.10237768055429639,0.12691755160251497,0.1512132590349436,0.17526723208246262,0.1990818762443127,0.2226595723732945,0.24600267813289386,0.43958932793290506,0.5865565654442346,0.732061528463886,0.8761187636732628,1.0187426774399515,1.159947530539215,1.2997474413481849,1.4381563896038465,1.5751882135886128,1.7108566161867853
6,6,15659274.0,6.1583513950916595,0.16238112050524137,0.002555607662617628,0.027591192001084293,0.052377680556987306,0.07691755160520589,0.1012132590376345,0.12526723208515353,0.14908187624700361,0.17265957237598542,0.19600267813558478,0.2191135277778396,0.241994431925055,0.4431542203179345,0.5930902448727123,0.7415344542685445,0.888501691779874,1.0340066547995252,1.1780638900089022,1.320687803775591,1.4618926568748545,1.6016925676838243,1.740101515939486
7,7,15695690.0,7.270323668090864,0.13754545817388528,0.018563941513709135,0.041444845660924524,0.06409809241567939,0.08652594682833864,0.1087306513908517,0.13071442655260704,0.15247947033744547,0.1740279590068483,0.19536204746022154,0.21648386858550805,0.23739553465451463,0.36606689089149536,0.5301222946906452,0.6925453995229794,0.8533524484192561,1.0125595198248205,1.1701825338172516,1.326237250311307,1.4807392739174017,1.6337040530844926,1.7851468821841523
8,8,15901791.0,7.33311492755786,0.13636769774901497,0.00856394151424732,0.03144484566146271,0.054098092416217575,0.07652594682887683,0.09873065139138988,0.12071442655314521,0.14247947033798364,0.16402795900738648,0.18536204746075974,0.20648386858604625,0.2273955346550528,0.43908649622282514,0.603141900021975,0.7655650048543092,0.9263720537505858,1.0855791251561504,1.2432021391485812,1.3992568556426366,1.5537588792487314,1.7067236584158223,1.858166487515482
9,9,15956597.0,5.422817263033858,0.18440599258558427,0.012419541082577347,0.03900315963567252,0.06532228006763585,0.09137953407761076,0.11717752666245226,0.14271883783788608,0.16800602137878967,0.19304160571725631,0.21782809427315936,0.24236796532137792,0.26666367275380654,0.36452250061534974,0.5057273537146132,0.645527264523583,0.7839362127792447,0.9209680367640111,1.0566364393621834,1.190954986071824,1.323937106199313,1.455596098951026,1.585945128190713
10,10,15978768.0,6.382164647014467,0.15668665026807058,0.00787249700445065,0.032412368052669234,0.05670807548509785,0.08076204853261687,0.10457669269446697,0.12815438882344876,0.15149749458304812,0.17460834422530294,0.19748924837251833,0.22014249512727319,0.24257034953993242,0.417774496578618,0.5707392757457088,0.7221821048453685,0.8721181294001463,1.0205623387959786,1.1675295763073081,1.3130345393269593,1.4570917745363363,1.599715688303025,1.7409205414022884
11,11,16448672.0,6.382164647014467,0.15668665026807058,0.007873487004450598,0.03241335805266918,0.05670906548509779,0.08076303853261681,0.10457768269446692,0.1281553788234487,0.15149848458304807,0.1746093342253029,0.19749023837251828,0.22014348512727314,0.24257133953993237,0.4177681780735424,0.5707329572406332,0.7221757863402929,0.8721118108950707,1.0205560202909028,1.1675232578022325,1.3130282208218838,1.4570854560312607,1.5997093697979494,1.7409142228972128
12,12,16489604.0,6.3981392198129985,0.156295442416026,0.004776583108827375,0.029316454157045955,0.05361216158947457,0.0776661346369936,0.1014807787988437,0.12505847492782549,0.14840158068742484,0.17151243032967967,0.19439333447689505,0.2170465812316499,0.23947443564430915,0.4375583979876117,0.5905231771547026,0.7419660062543623,0.8919020308091401,1.0403462402049721,1.1873134777163017,1.3328184407359531,1.47687567594533,1.6194995897120188,1.7607044428112821
13,13,16540840.0,7.00835246119704,0.1426868876154094,0.015058474933745496,0.038401580693344865,0.06151243033559967,0.08439333448281507,0.10704658123756992,0.12947443565022917,0.15167914021274223,0.17366291537449757,0.195427959159336,0.21697644782873884,0.23831053628211207,0.38596977280894806,0.5467768217052247,0.7059838931107891,0.8636069071032201,1.0196616235972755,1.1741636472033703,1.3271284263704612,1.478571255470121,1.6285072800248988,1.7769514894207308
