BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
11362828,2020-11-30 22:22:30.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,60.0,55.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13219713,2021-09-13 21:05:08.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,60.0,50.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13381378,2021-10-09 00:23:27.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,65.0,55.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13426219,2021-10-16 01:59:30.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,65.0,55.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13474128,2021-10-23 13:47:07.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,65.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13518027,2021-10-30 10:50:08.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,110.0,70.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
13877253,2021-12-25 23:14:51.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,107.5,70.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
14059558,2022-01-23 03:53:23.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,106.5,60.0,50.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
14109970,2022-01-30 22:46:16.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,107.5,70.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
14470645,2022-03-27 21:22:18.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,106.5,70.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
15338584,2022-08-14 08:10:54.000,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,106.0,67.0,60.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ
