BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
7710798,2019-05-07 01:34:20,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,0.0,75.0
9133210,2019-12-20 00:47:46,DAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0.0,75.0
10096844,2020-05-19 14:17:08,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,75.0,65.0
10149088,2020-05-27 17:06:28,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,65.0,55.0
10211430,2020-06-06 09:49:19,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,55.0,45.0
10259279,2020-06-13 19:35:22,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,45.0,35.0
10451297,2020-07-13 12:51:31,DAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,35.0,0.0
13699346,2021-11-28 00:56:55,DAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,75.0,80.0
14879331,2022-05-31 14:58:05,DAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,80.0,82.5
15077600,2022-07-04 18:11:51,DAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,82.5,83.5
