block,reserve TUSD,reserve DAI,price,volume for slippage 5%
10687074,185,200.0000000000543,1.0810810810813747,9.736842105263179
10694756,189.6697513755709,195.0903230565909,1.028578999243198,9.982618493451099
10698925,9.87e-16,1.015e-15,1.028368794326241,5.194736842105256e-17
11048184,1.9448275862068976,2.000000000000001,1.028368794326241,0.1023593466424686
11062201,1.9488473041338454,1.9958871240824598,1.024137252748758,0.10257091074388658
11066977,1.9857157591301913,1.9589389329231717,0.9865152773835321,0.1045113557436943
11089227,1.008e-15,9.95e-16,0.9871031746031745,5.305263157894737e-17
11096902,1.9845331099362382,1.9589389329231717,0.9871031746031746,0.10444911104927579
11121848,1.9745331099362382,1.9688898090231237,0.997141956807553,0.10392279525980208
11170774,2.3678563745445427,1.6426572343935122,0.6937317871357284,0.1246240197128703
11188729,2.1224413645639726,1.8331669868234162,0.8637067753341756,0.11170744024020918
11243516,2.0224413645639725,1.9240810211260928,0.9513655401035146,0.1064442823454721
11247022,2.021512112098659,1.924968147665054,0.9522417086418656,0.10639537432098223
11385922,3.021512112098659,1.289160447729169,0.4266606917004061,0.15902695326835037
11389689,2.8059387855063007,1.3885014747645206,0.4948438226580844,0.14768098871085789
11397752,0.20525169715541064,19.034755701443224,92.73860321374424,0.01080272090291634
11397753,1.982735647361562,1.9757811262413472,0.9964924617512833,0.10435450775587185
11402052,1.7061941494827721,2.2969811262413473,1.346260111686393,0.08979969207804062
11451927,1.1897748071001506,3.2969811262413473,2.771096771057971,0.06261972668948168
11540068,1.8171082840075112,2.160978561723595,1.1892403885571974,0.09563727810565847
11651039,2.0751970024455453,1.9032932782637324,0.9171626963708841,0.10922089486555464
11707491,242.24820391869233,222.1810158970716,0.917162696370884,12.749905469404865
11708175,15936.090133918693,14615.987396834309,0.9171626963708839,838.7415859957218
11708176,15277.582818643437,15247.873724829175,0.9980553799532994,804.0833062443908
11711698,15278.811902817377,15246.65080892782,0.9978950526981992,804.1479948851247
11712107,31207.647272817376,31141.95681989491,0.9978950526981992,1642.5077512009157
11712766,15930.824976258198,15897.291429208963,0.9978950526981992,838.4644724346399
11712831,1.9896062581982452,1.9854182418734048,0.9978950526981991,0.10471611885253918
11727037,1.9909893273025059,1.9840431775346028,0.9965112069298161,0.10478891196328988
12312859,1.9933711986588123,1.9934529128369336,1.000040992956142,0.10491427361362149
12598897,1.9933207266986548,1.993503540025682,1.0000917129514475,0.10491161719466602
12934882,2.440720726698655,1.6289771684012275,0.6674164522725218,0.128458985615719
13163514,1.7261411796248645,2.3053623853812124,1.3355584193189967,0.09084953576972987
15982322,2.0688572030937573,1.9249742256665976,0.930452919992739,0.1088872212154608
16095610,2.0796932886276123,1.9149742256665976,0.9207964636604119,0.10945754150671627
16219135,1.6501353122649178,2.414974225666598,1.4635007248901843,0.08684922696131125
